index,content
21,"Я смотрел комментарии максимально сосредоточенным!!!!
Прищурившись! Чтобы спойлер не поймать!"
22,))))))
23,Спасибо!
24,Ура! Сегодня максимально раньше обычного!
25,не радуйся... серия гавно
26,"Где,блять объективность? -Опять сука, одно и тоже. Не можете оценку адекватную поставить?"
27,"И это здорово! Радуйся, конец великолепен!"
28,Худший сезон
29,"Жуков  вообще-то историк, это тебе не о чём не говорит? И если для тебя больше миллиона человек это бляди, ну так мне нечего добавить."
30,Историков много...лепят отсебятину 90% даже не поработав в архивах с материалом.....сам историк знаю...
31,"Ну Жуков как раз основывает свои разборы на официально принятой истории. Плюс, он указывал больше не столько на историческую не достоверность, так как это всё таки фентази сериал, а указывал в первую очередь на крайнюю не логичность происходящего. На то что элементарная логика боя, часто ни как не соблюдается. На то что технические характеристики баллисты не позволяют стрелять с такой скорострельность. Или вы вы будете спорить и на счёт этих моментов?"
32,
33,"Всех людей,что дают такие оценки связывает одно - дети,которые не умеют оценивать адекватно и объективно. ""СЕРИАЛ ГАВНО,ПОТОМУ ЧТО ОН ГАВНО!"""
34,"Ты есть нормальная, которая ненормальная."
35,"Посмотрите обзор Пучкова, там всё детально объяснено почему 8-ой сезон говно. Если не хотите смотреть длинный подробный обзор от Пучкова то посмотрите короткий, но остроумный обзор от EL Gato"
0,
1,http://a.retre.org/share/?sdr=f1d98dc3f3fb474240073444bd3cebca&c=145&s=8&e=6&u=671072&n=1&newbie=
2,кек
3,Ссылок много не бывает :) http://a.retre.org/share/?sdr=13b5cdea59582a6ea5d22286665df7a1&c=145&s=8&e=6&u=5227876&n=1&newbie=
4,спасибо
5,http://a.retre.org/share/?sdr=47330c6e10babd0dd2c8ec5c19083be5&c=145&s=8&e=6&u=5666759&n=1&newbie=
6,"Чертова блокировка, кто умеет, выложите пожалуйста ссылку."
7,"Странно, у меня ни какой блокировки нет хотя с РФ, и ни какой анонимайзер не включён."
8,"Держите 1080 http://tracktor.in/td.php?s=KYJMxzOMgM4RtLEQoWz/qV9UGbLRW0GNFFhY20+CEbjCa0reqkmbYdzEEiaeTBA9N9IIR11d8Xh/e2p6z2X4+XDLeMOz3AEKzdGYLdjX8Ho7lVAfQrZC/VuOC/KpeFHi91VWRw==
держите 720 http://tracktor.in/td.php?s=VUAjRUYaZjVrAgTRg38X2GfHZ4edbqPDQLnY1Rd70OwgXmFEKqCroRm+4rZ1hzQF6rB4IRm3/ITIiebOx0Z2DuHA8NYqAsFFUq4A1rBxBTTW3Tf9I7Zg65ZDu9KipvYzCb9Z2g==
держите 400  http://tracktor.in/td.php?s=hnF1klSkIQqHT+aabtlu+k/jlxLp4r7/jtTgG0fSQOTie8g8LiObJPw39/V3ucKUO/tFAgZ2qeTIzwR0uJRz/+RO0GzwsiUwltMBmxYK+kE3Q3aEPor+9AbPSFiKNdGnBMm+zQ=="
9,ставите в хром расширение browsec и будет вам счастье...
10,"Спасибо тебе, добрый человек. Раньше фригейт юзал, но он почему-то очень избирательно работать начал. Попробовал то, что ты посоветовал, и всё хоккей."
11,"browsec помог, спасибо!"
12,"Заседание совета.
Фрики и карлики, а тут санитар ""короля"" на каталке привез :)))
Орууууууу"
13,вот прямо с языка снял.. всех сжечь......всех
14,Демократия по-пиндосски
15,"Справедливости ради - не совсем по-пиндосски. Выборы монархов имели место в европейской истории. Вот хотя бы (чтобы далеко за примером не ходить) в 1613 году был избран на царствование Михаил Федорович Романов, аналогичным образом, собранием бояр.
Но в ИП эта самая ""боярская дума"" конечно уныло получилась, с этим согласен."
16,
17,Встаньте на раздачу!!! Не будьте жлобами!
18,cool
0,
1,"А с чего вдруг прошлые серии разрешены на территории РФ, а последняя нет? Шоо??"
2,"Всё разрешено, у меня лично нет ни какой блокировки и анонимайзер не включён. У меня Билайн. Может ваш провайдер блокирует?"
3,"Если не ошибаюсь, правообладатель берет в прокат только в определенный промежуток времени. поэтому лостфильм открыл доступ старые серии. а последнюю на момент, пока прокат идет.. наверное)"
4,"Что ж, лорды и леди, поздравляю. Можно сказать, закончилась эпоха. И закончилась она... кхм... не очень хорошо.
Когда пошли финальные титры, я сказала вслух одно слово. И слово это было нецензурным. Конечно, было понятно задолго до анонса 8го сезона, что он падёт жертвой завышенных ожиданий. Но кто же мог подумать, что сценаристы и постановщики сделают всё, чтобы максимизировать потери. И дело даже не в небрежности (стаканчики кофе и т.д.), а в том, что они сделали самую большую хрень, которую только можно сделать в данном виде искусства - они придумали финал (как им наверное показалось, хороший и непредсказуемый) и подогнали под него все линии. Даже не подогнали, а тупо приклеили их соплями.
 
Если честно, лучше бы все полегли в битве с мертвецами (сначала пал Север во главе с ключевыми фигурами, а потом уже КН догрыз Серсею в Красном замке. Заодно и Гору сделал бы синеглазкой, ему бы пошло). Было бы мрачно, нелогично, но хотя бы эпично. И страшилка ""Зима близко"" не осталась бы просто фразочкой, которую почему-то иногда надо произнести. Но нужен был хэппи-энд (относительный), разгул демократии (""а давайте выберем себе короля? Все на честные выборы!""ТМ) и ""бобро побеждает зло"" (не такое уж и зло, не такое уж и добро. Да и не то чтобы побеждает, но бог с ним. И так сойдёт).
 
Печально сознавать, что даже после наполовину просранного 7го сезона, они не постеснялись просрать 8й вообще полностью.
Ещё печальней понимать, что самым острохарактерным, логично действующим и вообще самым мудрым из всех героев оказался Дрогон. И видя, как он улетает в туман (аки Карлсон), я подумала: ""Человечество обречено"". Наверное, так и будет - судя по вечно щенячьиму выражению лица Джоньки (а ведь он побывал на ""той стороне"" и наверняка что-то знает, хоть и отрицал) и судя по последним кадрам всея сериала. Может, действительно в этом и была сокрыта истина всех сливов и косяков?
 
В очередной раз поразила математика - дотракийцы во время монтажных переходов чпокаются и почкуются, а безупречные, видимо, просто клонируются, т.к. им нечем чпокаться. Короче, и тех и тех опять тысячи (может, они и есть настоящая нежить, загримированная под живых, и всё это коварный план КН? Ох уж эти сценаристы, ох уж эти затейники...)
Ещё интересен момент - дотракийцы стерпели женщину во главе их войска (но дама-то была с драконами, хрен ли не стерпеть), но что-то никто и не пискнул, когда во главе войска поставили евнуха. Как-то я сомневаюсь, что орда вот так просто с этим бы смирилась. Ну да в этом сезоне всё не как у людей...
 
Тирион отупел. Бран отупел (но этот хотя бы многозначительно молчал почти всю серию, продолжая играть мебель). Дайнерис не только отупела, но и на кой-то хрен внезапно подобрела (так же внезапно, как и крышей двинулась) и опять полезла с обнимашками к считай врагу. Джон Сноу не тупел, т.к. в принципе умом не блистал уже давно. После очередного ""Ты моя королева"" я чуть было не разбила себе лицо ладонью, но обошлось. Хотя бы за это спасибо так называемым сценаристам этого... эм... ""эпичного полотна"".
 
В общем, петиции там или не петиции, а имеем мы то, что имеем: практически беспрецедентный слив абсолютно всех сюжетных линий и характерных персонажей. Чертовски обидно за сагу, которая покорила сердца, но которую не смогли триумфально окончить (хотя для этого были все ресурсы и даже больше).
Ну хотя бы Призрак наконец-то получил свои обнимашки, а Вестерос очередную Серсею (хотя и не полностью. Но это пока)."
5,"Если бы Дейнерис всех освободила от рабства это не значит что наступила бы подлинная демократия. Просто все кто остался бы в живых служили бы ей, вот и всё разница"
6,"Да вот, Джон Сноу дал клятву ночному дозору, умер за эту клятву. Далее Джон вдруг превращается в беспринципного клятвопреступника, ни следующего ни долгу, ни чести - цареубийцу. Сценаристы слили Джона Сноу, как и Дейнерис, превратив его в Джейме Ланистера. Джейме то, хотя бы до конца следовал чувствам к Серсее. А у Джона и любовь пропала и клятва королеве ни почем и честь куда-то выветрилась. Какие кардинальные изменения в характере Джона. Это нелогичный проеб сценаристов. Что же здесь предсказуемо ? Дейнерис никогда не брала в плен и не сажала врагов и предателей в темницу. Паука сжечь, брата Тарли сжечь, отца Тарли сжечь, а Тириона значит в темницу. И где тут логика ? Она разрушительница оков, и вдруг перестала ею быть ? Просто Тириону нужно было подтолкнуть Джона к действию, а потом разрулить вопрос с королем, вот сценаристы и создали нелогичные действия со стороны Дейнерис, оправдав это ее безумием)) Короче сделали работу на отъебись. Такая халтурная работа - это неуважение к зрителю. Мол вы это говно сожрете, но я говно не ем и считаю финал притянутым за уши."
7,"да офигенный сезон! и вполне логичный конец! Вы просто задроты киношные, совсем уже зажрались, всё вам под вашу больную недофантазию подавай. Класс, ососбенно 3я серия, мясооо)"
8,https://transfiles.ru/13zhz  торрент файл
9,Храни тебя господь
10,спасибо бро!
11,"почему-то не качается(
(поиск пиров 0.0%) Что делать?"
12,Говно серия и сезон в целом.
13,"ну да, а ты чего ожидал?)"
14,"После смерти Короля ночи понял,что будет говно."
15,"Ну наконец-то, спасибо, Лост! Все уже посмотрели, а я не могу в другой озвучке смотреть) Спасибо за ваши старания!"
16,Ну наконец то!
17,Спасибо оперативность!
18,Спасибо за ссылочки
19,"панеслась! (с) Будем посмотреть, насколько спойлеры оказались близки ;)"
20,"Ловите ссылку на файл
Game.of.Thrones.S08E06.1080p.rus.LostFilm
https://yadi.sk/d/LpvgH-Ifvj2cGw"
21,Благодарю
22,дай бог тебе здоровья)
23,Спасибо :)
0,
1,Ну что кто первый начнет поливать грязью финал?)
2,"Дерьмо поливать грязью? Да вы, батенька, тот ещё затейник."
3,гавно нет смысла принижать...
4,трекеры можно скинуть где скорость есть?))
5,"У тех у кого не открывает из за нашей великой Российской Федерации!
 
http://a.retre.org/share/?sdr=2f48ae5d820b5ea97e37cf43b9aae1c4&c=145&s=8&e=6&u=5680496&n=1&newbie="
6,Красава! Спасибо!
7,Дай бог тебе здоровья.
8,СПАСИБО ВАМ ОГРОМНОЕ!!!!!!!!!
9,Как это развидеть? переснять 8 сезон! Срочно!
10,"Лучше переснять момент, когда ты получаешь мозги"
11,"Никак))) Все так, как должно было быть."
12,"Мозги ему дети леса вставили, не спрашивая разрешения."
13,
14,Гори в Аду
15,"А для кого сверху надпись Осторожно, возможны спойлеры!"
16,Спасибо большое)
17,"Тирион - Варису: ""Слыхал, есть новый кандидат, любимый народом Эйгон Таргариен?! Он мужик и сделает кучу наследников для стабильной династии""
 
Тирион - совету: ""Выберем Бранна, он дурачок и наследников не будет!""
 
Оруууууу"
18,"Мне вот другое интересно - Дрогон Деньку съест или будет некрофилить? Бранн типа его найти обещал, не подсмотрел бы чего..."
19,Может когда нибудь снимут продолжение этого. И покажут типо Дрогон отнёс её к красным жрецам и те её воскресили. И ещё дракон отложит яйца и Дейнерис прилетит с огромной армадой в Вестерос и как начнёт всем мстить)
20,"Качаю, смотрю, раздаю 1080. Всем спасибо !"
21,Если позволите. Два упоротых человека испортили такой проект...ДиД
22,Ееее
0,
1,"Критику опустим, тут уже ничего не поделать, лучше напишу, какие 3 мысли у меня возникли после просмотра серии:
 
Забавно, что здесь в сериале Тирион больше всех бомбит про сожженный город, а с каким намерением он решает найти Дейнерис после убийства Тайвина и побега из города в книгах? Почти прямая цитата: ""Пускай я буду хоть шутом у драконьей королевы, я желаю увидеть, как Королевская Гавань пылает""
 
вторая:
А что если Бран контролировал Дрогона уже с третьей серии, когда он сказал, что ему надо ""отойти""? Специально уводил его в туман, чтоб проиграть битву и заманить Короля Ночи. А потом и город сжег в пятой? Дейнерис конечно могла считать, что она там что-то решает, но давайте будем честными: много она может контролировать, сидя на спине такой громадины? Здесь как бы не свалиться - и уже хорошо.
То-то Бран и ответил, что да - весь этот его путь и был ради трона, хоть потом и накинул быстро маску равнодушия обратно, типа нет - не хочет он править.
Да и потом еще намекнул, что он легко может найти Дрогона (читайте вселиться).
 
ну а третья - контрольный выстрел:
А что если Бран на самом деле уже давно не Бран, как он и говорил, а действительно Трехглазый Ворон. В смысле тот старик, который сидел в дереве, вселился в него, забрал себе тело, а Бран исчез. Отсюда вся эта отрешенность, высокомерие и равнодушие к казалось бы близким."
2,"да, выглядит шикарно, а самое прекрасное, что здесь особо ничего сложного и ничем шокирующе от их финала не отличается, только больше подробностей и приятных мелочей. Все, что от них требовалось это просто подвязать сюжетные хвосты, сделать больше драмы и снять на одну серию больше."
3,"Чуть лучше проработать идею сценария, чуть-чуть, самую малость."
4,"Кстати, когда болотная девочка (чей брат погиб в пещере Ворона) расставалась с Браном - она вроде сказала, что настоящий Бран погиб в пещере."
5,Огонь!!!
6,Самая ужасная концовка такого потрясающего сериала которую только могли придумать....
7,Плохой финал вышел к сожалению...
8,http://a.retre.org/share/?sdr=9a4a2161f962cc8d6bf894a308efc225&c=145&s=8&e=6&u=3373447&n=1&newbie=
9,спасибо!!
10,https://www.lostfilm.tv/v_search.php?a=145008006
11,Спасибо
12,сенькс
13,Что за скорость то такая(
14,ЭТО ПРОСТО СЛИВ(((
15,"Возможен спойлер (!!!)
 

 

 

 

 

 

Награда за худший финал ИП - победа
Награда за худший сезон ИП - победа
Награда за худший сценарий ИП - победа.
 
Выбор короля это плевок в лицо фанатам. Интрига о том, что Джон Таргариен до одного места, короче пиндец.
 

В целом таков отзыв, смотрите первые 7 сезонов, последний не смотрите, такое снять за два года надо быть редкими неудачниками.
 
Рейтинги данного сезона и в целом финала показывает мировой рейтинг.
0 из 10"
16,но лучше 8 сезона
17,"Ну не знааааю... То, как просрали 1го дракона, как раз очень в стиле 8го"
18,"Ну и как Джон ""Ничего ты не знаешь"" Сноу проявил бы себя в качестве короля? С этим как раз всё нормально: не надо тешить себя иллюзиями, что некое право будет реализовано. Тем более, что это было квази-право - и могло сработать разве что в сравнении с правом Дейнерис."
19,Разочарование.
20,"Не успели выложить,а уже сцука пишут_)"
0,
1,Ну видно что они просто зделали финал как им сказал джордж мартин тупо инвалид на троне) даже не подвели никак нормально посливали все сюжеты в помойку
2,"как раз мартина здесь не видно вообще, я был фанатом ИП еще задолго до выхода сериала и в этом финале, не чувствуется автора... Тут все написано через жопу, обдолбанными в хлам сценаристами..."
3,Говорит чел у которого Зделали финал.Зачем такие живут
4,"Скорость, где же скорость, 1.2 Мб:(((
Так год буду качать на 50 Мегабитном канале:(((
 "
5,советую и не качать... я не смог серию до конца досмотреть...
6,"Эту сценку ака высокая лестница, имперские штурмовики и пламенная речь видел в десятках фильмах. Смотрелось очень паршиво"
7,Очень часто в немецких фильмах 30-х годов))
8,"Ага! Думал, что во время Данькиной речи кто-нибудь зиганет случайно! :)))"
9,ага весь 8 сезон сплошное клише
10,http://a.retre.org/share/?sdr=32392eb36a30c2292f4d202dbb95cd76&c=145&s=8&e=6&u=1377985&n=1&newbie=
11,скиньте трекерыыы народ в личку
12,"Птичку жалко( Точнее, двух. Дракона и мать его Дейнерис."
13,Пачаму ни кочаится сирия ?
14,Сирия никогда не кончится!
15,"тоже, реально половину серии ждал, когда кончится, потом выключил... на середине"
16,"Спасибо lostfilm за качественную озвучку и серию! Не зря жду долго, когда другие уже посмотрели раньше .."
17,Однозначно.
18,Убогий финал
19,https://www.lostfilm.tv/v_search.php?a=145008006
0,
1,http://a.retre.org/share/?sdr=91b8a5fc7bca8754647d60916514406b&c=145&s=8&e=6&u=2076933&n=1&newbie=
2,"хуже серии не было, просто треш"
3,Наконец-то! Спойлерщики не победили! Устоял...
4,"Концовка не плоха, с кинематографической точки зрения. Голливудский хэппи энд. Плохие наказаны, хорошие вознаграждены. Но что-то, думается мне, не такой финал в своих книгах задумывал Мартин. Его книги заканчиваются на смерти Сноу. Может тот вообще не воскрес? Каково? Мать их воскресшая, озомбевшая, псевдоживая в книгах. Тема белых сисек, тьфу ты, Ходоков))) вообще не раскрыта. Только очень быстро закрыта. Из под угла драконьим стеклом в сраку и все вопросы решены? Примитивно как-то, по-голливудски. Много у него таких не законченных ""милых мелочей"". Ох, не так он задумывал... Боги с ним, с сериалом. Закончился и замечательно. Хорошо закончился. Лично мне понравилось.
Теперь просто нужно дождаться окончания ""в книжном варианте"".
Главное, чтобы сам дед Мартин кони не двинул и успел дописать)))  "
5,"а не напомните в какой из книг оживили Кейтелин Старк, а то что то я не припомню такого"
6,"в Буре Мечей, она появилась первый раз в эпилоге, а момент с её оживлением описан в Пире, там к концу ближе, когда Бриенна у гостиницы подралась с челом, у которого шлем Пса был и она потом в плен попала к Братству без Знамён"
7,"спасибо. надо перечитать)
пысы: как по мне, то последний сезон был сделан в угоду спецэфектам,а не сюжету. жаль только, что битва с ходоками была снята уж очень тёмной."
8,"Кстати, ошиблись многие, на сожженую Королевскую гавань и жителей всем пофиг было, только карлик поскулил над семьей и все. А вот старки от упоминания Винтерфелла приссали капитально."
9,"Пожалуй, следующими пожгли бы их."
10,мдаа
11,"Слив десятилетия. Как сказал бы Кхал Дрого - Bran, u a not the king"
12,"После речей Дени а-ля Троцкий-в-платье, ее конец был предсказуем (мне по крайней мере). А для остатков королевства вангую скорый распад, ибо тот-же Дорн, коий почти не пострадал в этой войне, удерживать от сепаратизма уже нечем. Север уже королевству не помощник, после таких-то людских потерь, на полях работать и скотину выращивать некому."
13,"тупое говно тупого говна, говно"
14,внатуре
15,ждем Гомотрон!
16,"Гомотрон - единственное хорошее, что есть в этом сезоне!"
17,"СПАСИБО!!! Читал, смотрел вы лучшие. Ждем Продолжения, а ОНО будет."
0,
1,"Несмотря на большое количество критики, что свалилась на этот сезон, мне он в целом понравился, как и финал. Все заканчивается вполне закономерно. СПОЙЛЕРЫ!!! Из оставшихся персонажей толькой Бран является лучшим претендентом на трон. Он знает всю историю Вестероса и всё обо всех людях, он видет людей насквозь, так что заговоры и интриги против него при его правлении в принципе невозможны. Дейенерис никогда не умела править, весь сериал она лишь захватывала и убивала (освободила рабов, но позже это вызвало массовую резню). Её мания величия, а также множество случайных факторов, повлиявших в итоге на её психическое состояние, привели Дени к такому концу. Джон Сноу стал королём за стеной. Там ему, пожалуй, будет спокойней всего. Не вижу в этом никакого ""слива"". Нормальный финал для персонажа. Если говорить вкратце, Старки победили в Игре Престолов, хоть на протяжении всего сериала дохли, как мухи. Единственным большим минусом этого сезона является его темп. Событий слишком много, а создатели пытаются уместить всё это всего лишь в 6 серий. Так как сериал очень популярен, недовольных финалом будет очень много. Всем угодить нельзя. У любого варианта конца всей этой истории есть множество минусов, из-за которых хейтеры польют дерьмом последний сезон. В конце хотелось бы сказать отдельное спасибо всей команде, которая подарила нам по-настоящему лучший сериал в истории телевидения (ну и отдельное спасибо лостфильму за предоставленные 73 серии в хорошем качестве и с отличной озвучкой). Всё хорошее когда-нибудь заканчивается. Press F..."
2,"Чем Бран хороший король - мне лично непонятно. То, что он видит людей насквозь - мало.
А если видит - мог быть натравить Арью на Дени, пока была возможность. Если, конечно, бойню в КГ не устроил он сам - именно чтобы завалить остальные варианты и стать королём самому.
Причём при таком разорении КГ - основного города этого домена - потери там просто невосполнимые: купцы, ремесленники, войска - погибли почти все. Нужно отстроить город заново - откуда взять средства? Откуда взять людей? Простор будет дотировать? Это - до тех пор, пока Бронн не поймёт, что лучше не платить. Равно как Дорн, Долина и Железные острова: Дорн практически не пострадал, Долина потеряла часть войска, Железные острова потеряли почти весь флот, но - какой им интерес трудиться на КГ?
 
Согласен, что фанаты столько всего напридумывали, что их разочаровал бы любой финал."
3,"Лучший сериал? Начинался одним из лучших, бесспорно. Лост тоже хорошо начинался. Как говорится начали за здравие, а закончили за упокой..."
4,"Мартина на них нет! Бездари и тунеядцы! Халтуру гонят, ишь какие! :))))"
5,"Думали, хуже финала Лоста быть не может? Смотрите))"
6,"Трудно было представить, что будет пробито такое дно. Лучше бы не снимали 8 сезон"
7,"Так его еще и не начинали снимать,через пару лет только 8 сезон наверное снимут,а эту хрень,так просто чтоб было че показать за это время."
8,"Почему вы выключаете раздачу торрентов, когда качаете, пидорги?
Пока качаю 4гб успеваю раздать 60гб"
9,"Немудрено понять, что сидер-петух вначале один и лочет раздачу."
10,В седьмое пекло сценаристов Д.Беньофа и Д.Вайса!!!
11,Через пару месяцев уже все забудут!
12,"Казалось что хуже 3ей и 5ой уже некуда, но нет предела совер...абсурду"
13,"Полный провал. Всё предсказуемо и очередной ляп. Фаны собирают петицию, чтоб пересняли серию, какая на хер серия тут целый сезон переснимать нужно. В общем разочарование, к этому всё шло"
14,"Сняли сериал по черновику, где что-то можно изменить. Долго ждали б книгу, но лучше по ней сняли можно было и подождать"
15,Джордж Мартин умрет просто для того  чтобы потроллить фанатов)))
16,"Какие страшные вещи вы говорите:) У людей и так полыхает, а если Мартина не станет, то и фаны сердечный приступ словят. Пусть себе живёт-поживает да книгу дописывает."
17,"Дайте скорости 720р, 5Мв раздаю)"
18,"Рейтинг на ""IMDb 4.4""... Лол, как знал, что всё очень хуево."
0,
1,Бронн круче всех!
2,"Точно, самый умный и самый чёткий."
3,такое ощущение что сезон сняли таким только с целью лет через 10 когда мартина уже не будет снять продолжение и снимать следующие лет 20
4,"Мля, в самом начале думал, что будет Бран, но решил, что это слишком очевидно для ИП и в конце должны были чем то удивить. Это как посмотреть/прочитать Братство кольца, Две башни(7 сезонов), а вместо Возвращения короля - отсебятину какого нибудь Перумова(8 сезон)."
5,аххахаха аналогия с Средеземьем в точку:)
6,"Наверное не будет здесь таких горячих дискуссий как под 5-й. Тут и обсуждать собсно нечего, абсолютному большинству не понравился финал, значит шоураннеры действительно облажались. Денег-то они срубили знатно, но клеймо к Бенивайссу прилипло надолго. Как фильм «Комната», который имеет репутацию одного из худших фильмов в истории из-за манеры повествования, технических и сюжетных ляпов и показывается студентам в кинематографических учебных заведениях как не надо снимать"
7,"Что за хрень????
 
Какое отношение мальчик-дерево имеет к трону?????
 
При живом и здоровом наследнике????? (я про Тириона Тайвиновича, разумеется)
 
У них
ЗИМА к которой никто не готов
Северная фронда
Непонятки на Юге
Разруха по результатам гражданской войны и иностранной интервенции (это я про вдову Дрого)
24 миллиона госдолга
 
По сути, даже грабить казну не получится: нечего грабить. Что за уродский двор, вернее, сброд сирот, воров и нищих? Брон - министр минэкономразвития! Мля! Теперь я видел всё! Это даже не украина. Это круче!"
8,"Так нет госдолга: золотых мечей слили, так что железному банку нечем долги предъявлять"
9,")))
Высший балл!"
10,"Ну а кто мешал, едва Безупречные отвалили за море, нарушить все данные им обещания? Зачем их выполнять-то? Никто не вернется и проверять не станет, потому что без цели или королевы Безупречные или будет вырезаны в дальних странах или станут обычными наемниками, которые озабочены лишь деньгами."
